INFO  | 2025-04-14 18:17:37 | [main] internal.DriverManagerConnectionProviderImpl (DriverManagerConnectionProviderImpl.java:129) - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/busycoder?useSSL=false]
INFO  | 2025-04-14 18:17:37 | [main] internal.DriverManagerConnectionProviderImpl (DriverManagerConnectionProviderImpl.java:138) - HHH10001001: Connection properties: {password=****, user=root}
INFO  | 2025-04-14 18:17:37 | [main] internal.DriverManagerConnectionProviderImpl (DriverManagerConnectionProviderImpl.java:143) - HHH10001003: Autocommit mode: false
INFO  | 2025-04-14 18:17:37 | [main] internal.DriverManagerConnectionProviderImpl$PooledConnections (DriverManagerConnectionProviderImpl.java:281) - HHH000115: Hibernate connection pool size: 50 (min=1)
WARN  | 2025-04-14 18:17:37 | [main] internal.JdbcEnvironmentInitiator (JdbcEnvironmentInitiator.java:132) - HHH000342: Could not obtain connection to query metadata : Cannot invoke "org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl$PooledConnections.poll()" because "this.pool" is null
INFO  | 2025-04-14 18:17:37 | [main] dialect.Dialect (Dialect.java:161) - HHH000400: Using dialect: org.hibernate.dialect.MySQL57Dialect
INFO  | 2025-04-14 18:17:37 | [main] internal.LobCreatorBuilderImpl (LobCreatorBuilderImpl.java:63) - HHH000422: Disabling contextual LOB creation as connection was null
WARN  | 2025-04-14 18:17:37 | [main] spi.SqlExceptionHelper (SqlExceptionHelper.java:137) - SQL Error: 1049, SQLState: 42000
ERROR | 2025-04-14 18:17:37 | [main] spi.SqlExceptionHelper (SqlExceptionHelper.java:142) - Unknown database 'busycoder'
INFO  | 2025-04-14 18:18:01 | [main] hibernate.Version (Version.java:46) - HHH000412: Hibernate Core {5.3.27.Final}
INFO  | 2025-04-14 18:18:01 | [main] cfg.Environment (Environment.java:213) - HHH000206: hibernate.properties not found
WARN  | 2025-04-14 18:18:01 | [main] stax.LocalXmlResourceResolver (LocalXmlResourceResolver.java:97) - HHH90000012: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/hibernate-configuration. Use namespace http://www.hibernate.org/dtd/hibernate-configuration instead.  Support for obsolete DTD/XSD namespaces may be removed at any time.
INFO  | 2025-04-14 18:18:01 | [main] java.JavaReflectionManager (JavaReflectionManager.java:49) - HCANN000001: Hibernate Commons Annotations {5.0.5.Final}
WARN  | 2025-04-14 18:18:01 | [main] internal.DriverManagerConnectionProviderImpl (DriverManagerConnectionProviderImpl.java:73) - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
INFO  | 2025-04-14 18:18:01 | [main] internal.DriverManagerConnectionProviderImpl (DriverManagerConnectionProviderImpl.java:129) - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/busybank?useSSL=false]
INFO  | 2025-04-14 18:18:01 | [main] internal.DriverManagerConnectionProviderImpl (DriverManagerConnectionProviderImpl.java:138) - HHH10001001: Connection properties: {password=****, user=root}
INFO  | 2025-04-14 18:18:01 | [main] internal.DriverManagerConnectionProviderImpl (DriverManagerConnectionProviderImpl.java:143) - HHH10001003: Autocommit mode: false
INFO  | 2025-04-14 18:18:01 | [main] internal.DriverManagerConnectionProviderImpl$PooledConnections (DriverManagerConnectionProviderImpl.java:281) - HHH000115: Hibernate connection pool size: 50 (min=1)
